,iso3_country,gas,emissions_quantity,capacity,capacity_factor,activity,st_astext,year,use_biomass,use_gas_or_oil,use_gas,use_coal,use_oil,use_other_fossil,owner_name,owner_direct_parent,owner_grouping,asset_name
118,USA,co2e_20yr,8213000.0,1210,0.83,8797000,POINT(-101.1571 47.3777),2019,False,False,False,True,False,False,Rainbow Energy Center LLC,United Energy,United Energy,Coal Creek
119,USA,co2,8214000.0,1210,0.828,8798000,POINT(-101.1571 47.3777),2020,False,False,False,True,False,False,Rainbow Energy Center LLC,United Energy,United Energy,Coal Creek
120,USA,co2e_100yr,8214000.0,1210,0.828,8798000,POINT(-101.1571 47.3777),2020,False,False,False,True,False,False,Rainbow Energy Center LLC,United Energy,United Energy,Coal Creek
121,USA,co2e_20yr,8214000.0,1210,0.828,8798000,POINT(-101.1571 47.3777),2020,False,False,False,True,False,False,Rainbow Energy Center LLC,United Energy,United Energy,Coal Creek
122,USA,co2,9039000.0,1210,0.913,9681000,POINT(-101.1571 47.3777),2021,False,False,False,True,False,False,Rainbow Energy Center LLC,United Energy,United Energy,Coal Creek
123,USA,co2e_100yr,9039000.0,1210,0.913,9681000,POINT(-101.1571 47.3777),2021,False,False,False,True,False,False,Rainbow Energy Center LLC,United Energy,United Energy,Coal Creek
124,THA,co2e_20yr,4017000.0,1852,0.352,5731000,POINT(101.0253 13.501),2020,False,True,True,False,False,True,Electricity Generating Authority of Thailand,Electricity Generating Authority (Thailand),Electricity Generating Authority (Thailand),Bang Pakong power station
125,THA,co2,5490000.0,2512,0.365,8021000,POINT(101.0253 13.501),2019,False,True,True,False,False,True,Electricity Generating Authority of Thailand,Electricity Generating Authority (Thailand),Electricity Generating Authority (Thailand),Bang Pakong power station
126,THA,co2e_100yr,5490000.0,2512,0.365,8021000,POINT(101.0253 13.501),2019,False,True,True,False,False,True,Electricity Generating Authority of Thailand,Electricity Generating Authority (Thailand),Electricity Generating Authority (Thailand),Bang Pakong power station
127,THA,co2e_20yr,5490000.0,2512,0.365,8021000,POINT(101.0253 13.501),2019,False,True,True,False,False,True,Electricity Generating Authority of Thailand,Electricity Generating Authority (Thailand),Electricity Generating Authority (Thailand),Bang Pakong power station
128,THA,co2,4017000.0,1852,0.352,5731000,POINT(101.0253 13.501),2020,False,True,True,False,False,True,Electricity Generating Authority of Thailand,Electricity Generating Authority (Thailand),Electricity Generating Authority (Thailand),Bang Pakong power station
129,THA,co2e_100yr,4017000.0,1852,0.352,5731000,POINT(101.0253 13.501),2020,False,True,True,False,False,True,Electricity Generating Authority of Thailand,Electricity Generating Authority (Thailand),Electricity Generating Authority (Thailand),Bang Pakong power station
130,CAN,co2e_100yr,6417000.0,1326,0.588,6830000,POINT(-114.3048 53.3433),2019,False,False,False,True,False,False,Capital Power Corporation,Capital Power,Capital Power,Genesee power station
131,CAN,co2e_20yr,6417000.0,1326,0.588,6830000,POINT(-114.3048 53.3433),2019,False,False,False,True,False,False,Capital Power Corporation,Capital Power,Capital Power,Genesee power station
132,CAN,co2,5012000.0,1326,0.458,5335000,POINT(-114.3048 53.3433),2020,False,False,False,True,False,False,Capital Power Corporation,Capital Power,Capital Power,Genesee power station
133,CAN,co2e_20yr,7530000.0,1326,0.69,8015000,POINT(-114.3048 53.3433),2021,False,False,False,True,False,False,Capital Power Corporation,Capital Power,Capital Power,Genesee power station
134,CAN,co2e_100yr,5012000.0,1326,0.458,5335000,POINT(-114.3048 53.3433),2020,False,False,False,True,False,False,Capital Power Corporation,Capital Power,Capital Power,Genesee power station
135,CAN,co2e_20yr,5012000.0,1326,0.458,5335000,POINT(-114.3048 53.3433),2020,False,False,False,True,False,False,Capital Power Corporation,Capital Power,Capital Power,Genesee power station
136,CAN,co2,7530000.0,1326,0.69,8015000,POINT(-114.3048 53.3433),2021,False,False,False,True,False,False,Capital Power Corporation,Capital Power,Capital Power,Genesee power station
137,CAN,co2,6417000.0,1326,0.588,6830000,POINT(-114.3048 53.3433),2019,False,False,False,True,False,False,Capital Power Corporation,Capital Power,Capital Power,Genesee power station
138,IND,co2e_100yr,9534000.0,2100,0.553,10173000,POINT(87.8937 24.7727),2019,False,False,False,True,False,False,NTPC Ltd,NTPC (India),NTPC (India),Farakka power station
139,IND,co2e_20yr,9534000.0,2100,0.553,10173000,POINT(87.8937 24.7727),2019,False,False,False,True,False,False,NTPC Ltd,NTPC (India),NTPC (India),Farakka power station
140,IND,co2,9810000.0,2100,0.569,10467000,POINT(87.8937 24.7727),2021,False,False,False,True,False,False,NTPC Ltd,NTPC (India),NTPC (India),Farakka power station
141,IND,co2e_100yr,9810000.0,2100,0.569,10467000,POINT(87.8937 24.7727),2021,False,False,False,True,False,False,NTPC Ltd,NTPC (India),NTPC (India),Farakka power station
142,IND,co2e_20yr,9810000.0,2100,0.569,10467000,POINT(87.8937 24.7727),2021,False,False,False,True,False,False,NTPC Ltd,NTPC (India),NTPC (India),Farakka power station
143,IND,n2o,0.0,2100,0.523,9647000,POINT(87.8937 24.7727),2020,False,False,False,True,False,False,NTPC Ltd,NTPC (India),NTPC (India),Farakka power station
144,IND,co2e_100yr,9041000.0,2100,0.523,9647000,POINT(87.8937 24.7727),2020,False,False,False,True,False,False,NTPC Ltd,NTPC (India),NTPC (India),Farakka power station
145,IND,co2e_20yr,9041000.0,2100,0.523,9647000,POINT(87.8937 24.7727),2020,False,False,False,True,False,False,NTPC Ltd,NTPC (India),NTPC (India),Farakka power station
146,IND,co2,9534000.0,2100,0.553,10173000,POINT(87.8937 24.7727),2019,False,False,False,True,False,False,NTPC Ltd,NTPC (India),NTPC (India),Farakka power station
